ID,WingSpan,WingSweep,WingTCR,ThrustSLS,MTOW,Range,TOFL,AppSpeed
1,124.1332037,25.59085548,0.092577923,26375.04276,204880.5231,3151.724644,7437.465734,126.2112824
2,112.1515524,29.58301226,0.093133845,28365.88483,186710.7259,2202.317383,7113.369005,133.356706
3,124.218462,26.68848061,0.105843917,29387.182,214110.6323,3458.721846,7305.375548,128.9338939
4,107.1344361,30.50099086,0.100650273,24121.0375,180023.6558,2024.207765,8536.71977,137.0792006
5,101.7615808,30.55153216,0.090939142,32030.53019,173629.3712,1448.79202,6754.516278,141.7303465
6,107.2536011,27.0901997,0.105274554,31276.44778,184927.8464,2078.376324,6991.279938,138.7790478
7,111.3192259,26.93365835,0.1040751,25565.49459,188037.1917,2399.39198,8108.317039,134.8298119
8,101.3891414,27.16400654,0.110588901,30769.6366,177781.5264,1751.699007,7366.645305,143.9418153
9,116.6020426,28.24990858,0.102695461,27822.70919,197582.1918,2761.288937,7478.051268,131.9477739
10,123.2923595,25.1714804,0.101621761,29411.10311,209754.7284,3293.859822,7116.746689,128.5743265
11,116.1566371,31.91788986,0.113307034,32623.97857,204546.32,2875.641057,6950.373814,134.7680159
12,96.05223505,33.91213265,0.096869352,29298.52441,167311.7623,1204.991181,7647.56397,147.3980323
13,94.43573041,30.87547695,0.09268174,25361.11048,162226.0875,1093.924219,8564.15851,147.6250594
14,105.7308468,30.17662633,0.091875049,25098.34586,175576.5415,1756.97366,7998.819092,137.1721635
15,123.8368469,26.95116524,0.091959715,27853.57164,204910.1621,3087.73575,7091.107878,126.5221648
16,120.1692596,33.40245202,0.099021128,30889.05732,204539.9326,2881.4659,6822.800194,130.2660796
17,108.5632584,26.40972298,0.115435831,32698.39271,191346.4053,2292.957141,6995.2892,139.4641053
18,97.23624418,27.49800548,0.114094966,26242.86431,170844.8975,1546.731537,8655.953809,147.1323282
19,111.6559499,25.91512511,0.090985355,28193.52576,184609.9342,2149.565626,7061.648109,133.192603
20,109.8833282,28.90651311,0.112188003,29546.74836,191011.315,2388.093139,7464.602514,137.6678392