,,TaxiOut,,Takeoff,,,,Climb,,,,,,,,,,Cruise,,,,Descent,,,,,,,,,,,Landing,,,,TaxiIn,
Time,[min],0,6,6,6.373,6.475,7.486,7.486,8.763,10.76,11.32,13.56,16.23,19.61,23.94,23.94,31.42,31.42,175.9,290.1,303.3,303.3,304.8,305,305,306.8,309.1,311.3,313.6,314.3,317.4,319.6,319.6,321,321.1,321.4,321.4,327.4
Altitude,[ft],0,0,0,0,35,1500,1500,5000,9999,10001,15000,20000,25000,29313,29315,35000,35000,35000,35000,35000,35000,30000,29315,29313,25000,20000,15000,10001,9999,5000,1500,1500,50,0,0,0,0
Distance,[NM],0,4.86,0,0.6822,0.9623,4.542,0,5.54,14.77,17.71,31.11,48.23,71.68,103.8,103.8,160.6,160.6,1244,2099,2198,2198,2210,2211,2211,2224,2240,2254,2268,2271,2286,2296,2296,2300,2300,2301,2296,2301
GW,[kg],89076,89000,89000,88938,88921,88753,88753,88608,88397,88341,88123,87887,87618,87307,87307,86832,86832,80000,75000,74443,74443,74425,74423,74423,74403,74379,74355,74331,74324,74290,74264,74264,74248,74248,74243,74243,74167
Fuel,[kg],0,76.12,76.12,138.1,155.1,323.3,323.3,468.6,679.1,734.8,953.4,1189,1458,1769,1769,2244,2244,9076,14076,14633,14633,14651,14653,14653,14674,14698,14721,14745,14752,14786,14812,14812,14828,14828,14833,14833,14909
Mach,,0.07347,0.07347,0,0.2559,0.2559,0.388,0.388,0.4129,0.4523,0.5411,0.593,0.6513,0.7169,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.7169,0.6513,0.593,0.5411,0.4523,0.4129,0.388,0.388,0.2249,0.1988,0,0.07347,0.07347
TAS,[kts],48.6,48.6,0,169.3,169.3,255.3,255.3,268.4,288.7,345.4,371.5,400.1,431.5,461,461,449.6,449.6,449.6,449.6,449.6,449.6,459.7,461,461,431.5,400.1,371.5,345.4,288.7,268.4,255.3,255.3,148.7,131.5,0,48.6,48.6
CAS,[kts],48.6,48.6,0,169.3,169.3,250,250,250,250,300,300,300,300,300,300,264.4,264.4,264.4,264.4,264.4,264.4,295.6,300,300,300,300,300,300,250,250,250,250,148.6,131.5,0,48.6,48.6
EAS,[kts],48.6,48.6,0,169.3,169.3,249.8,249.8,249.1,248.1,296.8,294.7,292,288.9,285.6,285.6,250.3,250.3,250.3,250.3,250.3,250.3,281.2,285.6,285.6,288.9,292,294.7,296.8,248.1,249.1,249.8,249.8,148.6,131.5,0,48.6,48.6
SEP,[fpm],0,0,0,0,0,0,3058,2902,2606,2765,2418,2063,1567,957.3,958.9,438.7,220.5,488.3,699.6,724.1,-2685,-3140,-3219,-3219,-2867,-2701,-2628,-2498,-1812,-1720,-1637,0,0,0,0,0,0
ROC,[fpm],0,0,0,0,0,0,2828,2658,2350,2399,2050,1701,1252,741.9,1043,477.4,0,0,0,0,-2922,-3417,-3503,-2495,-2292,-2228,-2227,-2168,-1634,-1576,-1513,0,0,0,0,0,0
Flight Path Angle,[deg],0,0,0,0,0,0,6.278,5.611,4.61,3.934,3.124,2.407,1.642,0.9106,1.281,0.6007,0,0,0,0,-3.679,-4.209,-4.303,-3.064,-3.006,-3.152,-3.394,-3.553,-3.204,-3.323,-3.355,0,0,0,0,0,0
Energy Sharing Factor,,0,0,0,0,0,0,0.93448,0.92597,0.91208,0.87207,0.85192,0.82914,0.80409,0.78179,1.09756,1.12121,-21.37046,-57.62072,-96.13239,-101.25375,1.08785,1.08809,1.08811,0.77504,0.79913,0.82472,0.84767,0.86799,0.9017,0.916,0.92471,0,0,0,0,0,0
SAR,[NM/kg],0,0,0,0,0,0,0.03631,0.04046,0.04799,0.05653,0.06675,0.07948,0.09577,0.1117,0.1117,0.1286,0.1513,0.1665,0.1761,0.1772,0.6352,0.6695,0.6766,0.6766,0.6523,0.6247,0.596,0.556,0.4446,0.4035,0.3659,0,0,0,0,0,0
ESAR,[km/kWh],0,0,0,0,0,0,0.02305,0.02465,0.02766,0.0292,0.03268,0.03706,0.04257,0.04787,0.04788,0.05647,0.0649,0.07035,0.07455,0.07503,0.73,1.434,1.666,1.666,3.156,91.02,-3.669,-1.877,-13.25,-3.901,-3.394,0,0,0,0,0,0
Delta-ISA,[K],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,,0,0,0,0,0,0,0.70227,0.7046,0.70889,0.49502,0.50103,0.50867,0.51841,0.52873,0.52844,0.68501,0.68422,0.63039,0.59099,0.5866,0.5866,0.46468,0.45046,0.45043,0.44011,0.43044,0.42272,0.41652,0.59602,0.59075,0.58764,0,0,0,0,0,0
CL Max,,0,0,0,0,0,0,1.43939,1.44221,1.44564,1.41882,1.39283,1.36361,1.33337,1.28861,1.2886,1.2886,1.2886,1.2886,1.2886,1.2886,1.2886,1.2886,1.2886,1.28861,1.33337,1.36361,1.39283,1.41882,1.44564,1.44221,1.43939,0,0,0,0,0,0
CD,,0,0,0,0,0,0,0.04296,0.04322,0.04326,0.03133,0.03166,0.03142,0.03242,0.03557,0.03556,0.04462,0.04457,0.04112,0.0388,0.03855,0.03855,0.03294,0.03239,0.03239,0.02957,0.02872,0.02896,0.02865,0.03672,0.03664,0.03634,0,0,0,0,0,0
L/D,,0,0,0,0,0,0,16.35,16.3,16.39,15.8,15.83,16.19,15.99,14.86,14.86,15.35,15.35,15.33,15.23,15.22,15.22,14.11,13.91,13.91,14.89,14.99,14.6,14.54,16.23,16.12,16.17,0,0,0,0,0,0
Alpha,[deg],0,0,0,0,0,0,6.766,6.731,6.672,4.158,4.08,3.976,3.83,3.627,3.624,4.994,4.987,4.516,4.172,4.133,4.133,3.066,2.942,2.942,3.1,3.211,3.286,3.34,5.45,5.482,5.499,0,0,0,0,0,0
SOC,[%],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Thrust,[N],6502,6502,293578,245526,245526,214870,156179,146069,130175,123300,110168,97137,84566,75198,75194,63746,55466,51176,48288,47979,4932,2510,2161,2161,1141,39.55,-981.3,-1918,-271.8,-922.9,-1061,-1061,2085,2644,0,6502,6502
Max Total Thrust,[N],6502,6502,293578,245526,245526,214870,156179,146069,130175,123300,110168,97137,84566,75198,75194,63746,59590,59590,59590,59590,4932,2510,2161,2161,1141,39.55,-981.3,-1918,-271.8,-922.9,-1061,-1061,2085,2644,0,6502,6502
Total Fuelflow,[kg/h],761.2,761.2,9442,9976,9976,9706,7033,6634,6015,6110,5565,5034,4506,4129,4129,3496,2972,2701,2553,2537,707.8,686.6,681.4,681.4,661.5,640.5,623.3,621.2,649.4,665.2,697.9,697.9,736.9,741.9,0,761.2,761.2
SFC,[g/kN/s],32.5199084,32.5199084,8.933836247,11.28642633,11.28642633,12.54763862,12.50879511,12.61580334,12.83528583,13.76498153,14.03160022,14.39547581,14.80106268,15.25232645,15.25313781,15.23407133,14.883993,14.66073507,14.68618843,14.68813902,39.86437776,75.98494909,87.5880508,87.5880508,161.0429448,4498.525074,-176.4382848,-89.96640019,-663.6824462,-200.2143003,-182.7154676,-182.7154676,98.1747935,77.94377206,0,32.5199084,32.5199084
Total Propulsive Power,[kW],162.5,162.5,0,21382,21382,28224,20515,20169,19333,21908,21052,19993,18773,17835,17834,14744,12829,11837,11169,11097,1141,593.6,512.7,512.5,253.2,8.141,-187.5,-340.8,-40.37,-127.4,-139.3,-139.3,159.5,178.8,0,162.5,162.5
Total Shaft Power,[kW],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Electric Power,[kW],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
